,_id,nursing_license,last_name,first_name,starting_date,shift,cardiology_hours,nephrology_hours,transplant_hours,respiratory_hours,aces,preceptor,charge_rn,bls,bls_expiration_date,pals,pals_expiration_date,employment_status,username,password,years_of_experience,bls_expiration_countown,pals_expiration_countown
0,326844,AF5BBG,IAZFDUKLKF,PGGNWOWTH,2016-04-27,PM,1,1,1,1,1,0,1,0,2023-12-09,1,2025-06-16,Part Time,piazfd13,uF_3)u(G)Tp,8.525667351129364,332,-223
1,341337,4CSH55,WNZG,TEAHJ,2015-04-08,PM,1,1,1,1,0,0,0,1,2025-02-14,1,2025-03-03,Full Time,twnzg10,"sohK+%P4+j],",9.579739904175222,-101,-118
2,292127,JJKPRX,DWOCAEK,QKJDAGQDNJ,2016-10-16,PM,1,1,1,1,1,0,0,1,2024-11-24,0,2024-02-01,Full Time,qdwoca08,Jyvw^1V=1J,8.054757015742641,-19,278
3,880640,540VV2,MWFIZLFGH,LVY,2015-01-04,PM,1,0,1,1,1,1,1,1,2025-05-03,0,2023-11-10,PRN,lmwfiz03,":D""\,aA,`D0",9.83709787816564,-179,361
4,960902,4GCD1Q,ADIUPAV,IYOSK,2016-03-05,PM,1,1,1,1,1,0,1,0,2024-01-03,0,2023-11-12,Part Time,iadiup10,#;bD%U6.Vh.B,8.670773442847365,307,359
5,157066,NY3BJV,KCHQISXMZJ,STGC,2018-06-21,PM,1,1,1,1,1,1,1,1,2025-02-22,0,2023-12-01,Full Time,skchqi20,=>I{\Yv)<cot,6.376454483230664,-109,340
6,819627,KQKZ60,AAT,CZRSA,2017-06-02,PM,1,1,1,1,1,1,1,1,2025-08-27,0,2024-04-22,Part Time,caat05,xJ;MzPpX,7.427789185489391,-295,197
7,599920,CHCZNW,VDEGSDZTXT,GOMY,2024-04-29,AM,1,1,1,1,1,0,1,0,2024-08-18,0,2024-07-08,Full Time,gvdegs19,y?yJS)bOqr&x,0.5201916495550992,79,120
8,337430,O7Y60N,KWOCC,ZOH,2024-07-23,PM,0,1,1,1,1,1,0,0,2024-07-23,0,2024-11-03,Full Time,zkwocc16,"[Z`aP#$E{c,",0.2874743326488706,105,2
9,593520,57YQJJ,LUBZ,QFCGYI,2019-03-04,AM,1,1,1,1,1,1,0,0,2024-01-29,0,2023-12-27,Full Time,qlubz02,P|$4sF1jebz,5.675564681724846,281,314
